	正解数	総数	割合
主語	359	373	0.9624664879356568
述語	262	324	0.7024128686327078
目的語	183	282	0.648936170212766
全単語	804	979	0.8212461695607763
全場面	190	324	0.5864197530864198
Why	1	6	0.16666666666666666
What	107	179	0.5977653631284916
How	1	19	0.05263157894736842
When	9	42	0.21428571428571427
Where	20	22	0.9090909090909091
Whom	0	0	該当なし
From	5	7	0.7142857142857143
To	35	45	0.7777777777777778
On	5	7	0.7142857142857143
Under	0	1	0.0
Left	0	0	該当なし
Right	0	0	該当なし
Near	0	0	該当なし
NextTo	0	0	該当なし
MiddleOf	0	0	該当なし
Opposite	0	0	該当なし
hasProperty	92	115	0.8
hasPredicate	170	209	0.8133971291866029
